Thread started: 0
f7f0f04a (.text), f7ef8e30 (__get_cpu_features), 
f7f01fc1 (.text), f7ef7cd0 (_dl_rtld_di_serinfo), 
f7f1000c (_dl_rtld_di_serinfo), f7f04930 (_dl_catch_exception), 
f7f100f5 (.text), f7ef87b0 (_dl_catch_error), 
f7f046e9 (Unknown), ec3fe1f0 (_dl_rtld_di_serinfo), 
f7f046e9 (Unknown), ec404660 (_dl_rtld_di_serinfo), 
f7f046e9 (Unknown), ec418200 (_dl_rtld_di_serinfo), 
f7f0341b (Unknown), ec3fd1c0 (_dl_rtld_di_serinfo), 
f7f0341b (Unknown), ec3fcc80 (_dl_rtld_di_serinfo), 
f7f0341b (Unknown), ec3fe320 (_dl_rtld_di_serinfo), 
f7f0341b (Unknown), ec3fccc0 (_dl_rtld_di_serinfo), 
f7f0341b (Unknown), ec3fcd30 (_dl_rtld_di_serinfo), 
f7f0341b (Unknown), ec3fd270 (_dl_rtld_di_serinfo), 
f7f0341b (Unknown), ec3fdfb0 (_dl_rtld_di_serinfo), 
f7f0341b (Unknown), ec3fdf20 (_dl_rtld_di_serinfo), 
f7f0341b (Unknown), ec42c640 (_dl_rtld_di_serinfo), 
ec4b3006 (_dl_rtld_di_serinfo), f7f00eb0 (Unknown), 
f7f0341b (Unknown), ec3fd2f0 (_dl_rtld_di_serinfo), 
f7f0341b (Unknown), ec3fd2b0 (_dl_rtld_di_serinfo), 
f7f0341b (Unknown), ec3fd330 (_dl_rtld_di_serinfo), 
f7f0341b (Unknown), ec3fd5f0 (_dl_rtld_di_serinfo), 
f7f0341b (Unknown), ec3fcd70 (_dl_rtld_di_serinfo), 
f7f0341b (Unknown), ec3fdf60 (_dl_rtld_di_serinfo), 
f7f0341b (Unknown), ec4845f0 (_dl_rtld_di_serinfo), 
f7f0674b (_init), ec397d20 (_dl_rtld_di_serinfo), 
ec4b3006 (_dl_rtld_di_serinfo), f7f00eb0 (_Unwind_Find_FDE), 
f7f06789 (.text), ec397720 (_dl_rtld_di_serinfo), 
f7f06789 (.text), ec397780 (_dl_rtld_di_serinfo), 
f7f06789 (.text), ec397820 (_dl_rtld_di_serinfo), 
ec397f2f (__libc_csu_init), 568ab210 (__libc_start_main), 
568ab254 (frame_dummy), 56679fa0 (__libc_csu_init), 
ec397f9d (main), 56679e50 (__libc_start_main), 
ec3ac75a (__kernel_vsyscall), f7ef6070 (killpg), 
ec3fc14c (xmalloc), 568a7c10 (_obstack_begin), 
ec3f9818 (__libc_malloc), ec3f9950 (__libc_malloc), 
ec4b06a5 (.text), f7ef7cd0 (_dl_addr), 
ec4b081d (.text), f7ef7ce0 (_dl_addr), 
ec3f74d5 (__default_morecore), ec3faf20 (_IO_str_seekoff), 
ec46d685 (__kernel_vsyscall), f7ef6070 (brk), 
ec3f7710 (__default_morecore), ec3faf20 (_IO_str_seekoff), 
56878d52 (c_init_options), 56680d00 (toplev_main), 
56878ebb (c_decode_option), 56687160 (toplev_main), 
568790f2 (c_common_post_options), 566a2250 (toplev_main), 
ec3c7a07 (_IO_default_xsputn), ec3f2cc0 (vfprintf), 
ec3c9109 (_IO_default_xsputn), ec3f2cc0 (vfprintf), 
ec3c7ee4 (_IO_default_xsputn), ec3f2cc0 (vfprintf), 
ec3c835e (_IO_default_xsputn), ec3f2cc0 (vfprintf), 
56753bbf (ix86_init_machine_status), 568925b0 (prepare_function_start), 
568a8056 (const_int_htab_eq), 56715770 (htab_find_slot_with_hash), 
568a80c3 (const_int_htab_eq), 56715770 (htab_find_slot_with_hash), 
568a820b (const_int_htab_hash), 56715760 (htab_find_slot_with_hash), 
568200fe (strict_memory_address_p), 56832a10 (offsettable_address_p), 
56756726 (ix86_free_machine_status), 56892520 (free_after_compilation), 
568799b8 (c_init), 56680cf0 (toplev_main), 
5676ce46 (alloc_node), 56875100 (ht_lookup), 
5687b555 (default_set_default_type_attributes), 5687dda0 (make_node), 
568a82de (size_htab_hash), 567438f0 (htab_find_slot), 
568a8056 (size_htab_eq), 56743920 (htab_find_slot_with_hash), 
568a80c3 (size_htab_eq), 56743920 (htab_find_slot_with_hash), 
5687321f (default_ms_bitfield_layout_p), 5687ddd0 (place_field), 
56873271 (default_ms_bitfield_layout_p), 5687ddd0 (place_field), 
56873341 (default_ms_bitfield_layout_p), 5687ddd0 (place_field), 
5687335d (default_ms_bitfield_layout_p), 5687ddd0 (place_field), 
568a7f53 (type_hash_eq), 5687eaf0 (htab_find_with_hash), 
5669f6da (ix86_init_builtins), 56893390 (c_common_nodes_and_builtins), 
568a8056 (type_hash_eq), 5687eaf0 (htab_find_slot_with_hash), 
568a7f9f (type_hash_eq), 5687eaf0 (htab_find_with_hash), 
568a80c3 (type_hash_eq), 5687eaf0 (htab_find_slot_with_hash), 
5688a494 (set_decl_assembler_name), 5687b0a0 (make_decl_rtl), 
56681d4c (default_insert_attributes), 5687ddb0 (decl_attributes), 
ec3fc37c (xmalloc), 568a7c10 (_obstack_newchunk), 
56681f3c (handle_format_attribute), 566a58e0 (decl_attributes), 
568a8878 (splay_tree_xmalloc_allocate), 568a8700 (splay_tree_insert), 
ec463a34 (__kernel_vsyscall), f7ef6070 (__xstat), 
ec4641d7 (__kernel_vsyscall), f7ef6070 (open), 
ec463ac4 (__kernel_vsyscall), f7ef6070 (__fxstat), 
ec4719bd (__kernel_vsyscall), f7ef6070 (mmap), 
ec464740 (__kernel_vsyscall), f7ef6070 (__read), 
ec465158 (__kernel_vsyscall), f7ef6070 (close), 
ec3e56be (_IO_file_xsputn), ec3f0e80 (_IO_fwrite), 
ec3f0f3d (_IO_file_overflow), ec3f1ce0 (_IO_file_xsputn), 
ec3f2c15 (_IO_file_doallocate), ec3e40b0 (_IO_doallocbuf), 
ec3e410e (_IO_file_stat), ec3f07a0 (_IO_file_doallocate), 
ec463bee (__kernel_vsyscall), f7ef6070 (__fxstat64), 
56879a6c (debug_nothing_charstar), 566fb6d0 (toplev_main), 
56683b34 (debug_nothing_int_charstar), 566fb6e0 (yyparse), 
566a921f (do_define), 566a7f90 (run_directive), 
ec3c8c11 (_IO_default_xsputn), ec3f2cc0 (vfprintf), 
566abeca (cb_line_change), 56682300 (_cpp_lex_token), 
56684634 (set_decl_assembler_name), 5687b0a0 (maybe_apply_pragma_weak), 
5668902d (merge_decl_attributes), 5687ea50 (pushdecl), 
5669059d (merge_type_attributes), 5687ea30 (common_type.part.0), 
566901c1 (ix86_comp_type_attributes), 56891d00 (comptypes), 
5688c055 (lhd_return_tree), 567f7e50 (initializer_constant_valid_p), 
566b5dbe (c_common_get_alias_set), 5669efb0 (get_alias_set), 
566b5e5e (c_common_get_alias_set), 5669efb0 (get_alias_set), 
568a82de (mem_attrs_htab_hash), 56715790 (htab_find_slot), 
568a8056 (mem_attrs_htab_eq), 567157d0 (htab_find_slot_with_hash), 
ec3e5072 (_IO_file_xsputn), ec3f0e80 (_IO_fputs), 
ec3c7a07 (_IO_file_xsputn), ec3f0e80 (vfprintf), 
ec3c9109 (_IO_file_xsputn), ec3f0e80 (vfprintf), 
ec3c7ee4 (_IO_file_xsputn), ec3f0e80 (vfprintf), 
5688d24f (lhd_return_tree), 567f7e50 (output_addressed_constants), 
ec3c835e (_IO_file_xsputn), ec3f0e80 (vfprintf), 
5688c5e2 (lhd_return_tree), 567f7e50 (output_constant), 
5688afc0 (default_assemble_integer), 5688af50 (assemble_integer), 
5675a07c (decl_name), 56875bc0 (init_function_start), 
56695c74 (set_decl_assembler_name), 5687b0a0 (build_function_call), 
56882936 (c_disregard_inline_limits), 566a7210 (inlinable_function_p), 
56882983 (c_disregard_inline_limits), 566a7210 (inlinable_function_p), 
568828c3 (c_cannot_inline_tree_fn), 566a7260 (inlinable_function_p), 
56882a8b (inline_forbidden_p), 566a6fb0 (walk_tree), 
56882b0a (lhd_tree_inlining_walk_subtrees), 567f7f20 (walk_tree), 
56687021 (debug_nothing_tree), 566fb720 (c_expand_body.part.0), 
568a8524 (case_compare), 566a1650 (splay_tree_splay_helper), 
568a8978 (case_compare), 566a1650 (splay_tree_lookup), 
568a8a04 (case_compare), 566a1650 (splay_tree_predecessor), 
568a8a84 (case_compare), 566a1650 (splay_tree_successor), 
568a8802 (case_compare), 566a1650 (splay_tree_insert), 
568a881c (splay_tree_xmalloc_allocate), 568a8700 (splay_tree_insert), 
568a84e9 (splay_tree_xmalloc_deallocate), 568a86f0 (splay_tree_delete_helper), 
568a87c8 (splay_tree_xmalloc_deallocate), 568a86f0 (splay_tree_delete), 
5688285f (c_disregard_inline_limits), 566a7210 (inlinable_function_p), 
56882e9b (lhd_tree_inlining_add_pending_fn_decls), 567f7f90 (optimize_inline_calls), 
568a7fde (hash_pointer), 568a7d00 (htab_find), 
568a82de (hash_pointer), 568a7d00 (htab_find_slot), 
56882a8b (expand_call_inline), 568833d0 (walk_tree), 
56882bba (lhd_tree_inlining_tree_chain_matters_p), 567f7fa0 (walk_tree), 
568a7f53 (eq_pointer), 568a7d10 (htab_find_with_hash), 
568a7f9f (eq_pointer), 568a7d10 (htab_find_with_hash), 
568a8056 (eq_pointer), 568a7d10 (htab_find_slot_with_hash), 
568a80c3 (eq_pointer), 568a7d10 (htab_find_slot_with_hash), 
568a820b (hash_pointer), 568a7d00 (htab_find_slot_with_hash), 
56883451 (lhd_tree_inlining_start_inlining), 567f8030 (expand_call_inline), 
568834dc (c_convert_parm_for_inlining), 56695f80 (expand_call_inline), 
568a8524 (splay_tree_compare_pointers), 568a8b20 (splay_tree_splay_helper), 
568a8802 (splay_tree_compare_pointers), 568a8b20 (splay_tree_insert), 
56883116 (lhd_tree_inlining_auto_var_in_fn_p), 567f7fb0 (remap_decl), 
568a8978 (splay_tree_compare_pointers), 568a8b20 (splay_tree_lookup), 
56883720 (lhd_tree_inlining_copy_res_decl_for_inlining), 567f8010 (expand_call_inline), 
56882a8b (copy_body_r), 56883d80 (walk_tree), 
56883dae (lhd_tree_inlining_auto_var_in_fn_p), 567f7fb0 (copy_body_r), 
56883c70 (lhd_tree_inlining_tree_chain_matters_p), 567f7fa0 (copy_tree_r), 
