Thread started: 0
f7f9804a (.text), f7f81e30 (__get_cpu_features), 
f7f8afc1 (.text), f7f80cd0 (_dl_rtld_di_serinfo), 
f7f9900c (_dl_rtld_di_serinfo), f7f8d930 (_dl_catch_exception), 
f7f990f5 (.text), f7f817b0 (_dl_catch_error), 
f7f8d6e9 (Unknown), ec4871f0 (_dl_rtld_di_serinfo), 
f7f8d6e9 (Unknown), ec48d660 (_dl_rtld_di_serinfo), 
f7f8d6e9 (Unknown), ec4a1200 (_dl_rtld_di_serinfo), 
f7f8c41b (Unknown), ec4861c0 (_dl_rtld_di_serinfo), 
f7f8c41b (Unknown), ec485c80 (_dl_rtld_di_serinfo), 
f7f8c41b (Unknown), ec487320 (_dl_rtld_di_serinfo), 
f7f8c41b (Unknown), ec485cc0 (_dl_rtld_di_serinfo), 
f7f8c41b (Unknown), ec485d30 (_dl_rtld_di_serinfo), 
f7f8c41b (Unknown), ec486270 (_dl_rtld_di_serinfo), 
f7f8c41b (Unknown), ec486fb0 (_dl_rtld_di_serinfo), 
f7f8c41b (Unknown), ec486f20 (_dl_rtld_di_serinfo), 
f7f8c41b (Unknown), ec4b5640 (_dl_rtld_di_serinfo), 
ec53c006 (_dl_rtld_di_serinfo), f7f89eb0 (Unknown), 
f7f8c41b (Unknown), ec4862f0 (_dl_rtld_di_serinfo), 
f7f8c41b (Unknown), ec4862b0 (_dl_rtld_di_serinfo), 
f7f8c41b (Unknown), ec486330 (_dl_rtld_di_serinfo), 
f7f8c41b (Unknown), ec4865f0 (_dl_rtld_di_serinfo), 
f7f8c41b (Unknown), ec485d70 (_dl_rtld_di_serinfo), 
f7f8c41b (Unknown), ec486f60 (_dl_rtld_di_serinfo), 
f7f8c41b (Unknown), ec50d5f0 (_dl_rtld_di_serinfo), 
f7f8f74b (_init), ec420d20 (_dl_rtld_di_serinfo), 
ec53c006 (_dl_rtld_di_serinfo), f7f89eb0 (_Unwind_Find_FDE), 
f7f8f789 (.text), ec420720 (_dl_rtld_di_serinfo), 
f7f8f789 (.text), ec420780 (_dl_rtld_di_serinfo), 
f7f8f789 (.text), ec420820 (_dl_rtld_di_serinfo), 
ec420f2f (__libc_csu_init), 568b6210 (__libc_start_main), 
568b6254 (frame_dummy), 56684fa0 (__libc_csu_init), 
ec420f9d (main), 56684e50 (__libc_start_main), 
ec43575a (__kernel_vsyscall), f7f7f070 (killpg), 
ec48514c (xmalloc), 568b2c10 (_obstack_begin), 
ec482818 (__libc_malloc), ec482950 (__libc_malloc), 
ec5396a5 (.text), f7f80cd0 (_dl_addr), 
ec53981d (.text), f7f80ce0 (_dl_addr), 
ec4804d5 (__default_morecore), ec483f20 (_IO_str_seekoff), 
ec4f6685 (__kernel_vsyscall), f7f7f070 (brk), 
ec480710 (__default_morecore), ec483f20 (_IO_str_seekoff), 
56883d52 (c_init_options), 5668bd00 (toplev_main), 
56883ebb (c_decode_option), 56692160 (toplev_main), 
568840f2 (c_common_post_options), 566ad250 (toplev_main), 
ec450a07 (_IO_default_xsputn), ec47bcc0 (vfprintf), 
ec452109 (_IO_default_xsputn), ec47bcc0 (vfprintf), 
ec450ee4 (_IO_default_xsputn), ec47bcc0 (vfprintf), 
ec45135e (_IO_default_xsputn), ec47bcc0 (vfprintf), 
5675ebbf (ix86_init_machine_status), 5689d5b0 (prepare_function_start), 
568b3056 (const_int_htab_eq), 56720770 (htab_find_slot_with_hash), 
568b30c3 (const_int_htab_eq), 56720770 (htab_find_slot_with_hash), 
568b320b (const_int_htab_hash), 56720760 (htab_find_slot_with_hash), 
5682b0fe (strict_memory_address_p), 5683da10 (offsettable_address_p), 
56761726 (ix86_free_machine_status), 5689d520 (free_after_compilation), 
568849b8 (c_init), 5668bcf0 (toplev_main), 
56777e46 (alloc_node), 56880100 (ht_lookup), 
56886555 (default_set_default_type_attributes), 56888da0 (make_node), 
568b32de (size_htab_hash), 5674e8f0 (htab_find_slot), 
568b3056 (size_htab_eq), 5674e920 (htab_find_slot_with_hash), 
568b30c3 (size_htab_eq), 5674e920 (htab_find_slot_with_hash), 
5687e21f (default_ms_bitfield_layout_p), 56888dd0 (place_field), 
5687e271 (default_ms_bitfield_layout_p), 56888dd0 (place_field), 
5687e341 (default_ms_bitfield_layout_p), 56888dd0 (place_field), 
5687e35d (default_ms_bitfield_layout_p), 56888dd0 (place_field), 
568b2f53 (type_hash_eq), 56889af0 (htab_find_with_hash), 
568b3056 (type_hash_eq), 56889af0 (htab_find_slot_with_hash), 
566aa6da (ix86_init_builtins), 5689e390 (c_common_nodes_and_builtins), 
56895494 (set_decl_assembler_name), 568860a0 (make_decl_rtl), 
5668cd4c (default_insert_attributes), 56888db0 (decl_attributes), 
ec48537c (xmalloc), 568b2c10 (_obstack_newchunk), 
568b2f9f (type_hash_eq), 56889af0 (htab_find_with_hash), 
568b30c3 (type_hash_eq), 56889af0 (htab_find_slot_with_hash), 
5668cf3c (handle_format_attribute), 566b08e0 (decl_attributes), 
568b3878 (splay_tree_xmalloc_allocate), 568b3700 (splay_tree_insert), 
ec4eca34 (__kernel_vsyscall), f7f7f070 (__xstat), 
ec4ed1d7 (__kernel_vsyscall), f7f7f070 (open), 
ec4ecac4 (__kernel_vsyscall), f7f7f070 (__fxstat), 
ec4fa9bd (__kernel_vsyscall), f7f7f070 (mmap), 
ec4ed740 (__kernel_vsyscall), f7f7f070 (__read), 
ec4ee158 (__kernel_vsyscall), f7f7f070 (close), 
ec46e6be (_IO_file_xsputn), ec479e80 (_IO_fwrite), 
ec479f3d (_IO_file_overflow), ec47ace0 (_IO_file_xsputn), 
ec47bc15 (_IO_file_doallocate), ec46d0b0 (_IO_doallocbuf), 
ec46d10e (_IO_file_stat), ec4797a0 (_IO_file_doallocate), 
ec4ecbee (__kernel_vsyscall), f7f7f070 (__fxstat64), 
56884a6c (debug_nothing_charstar), 567066d0 (toplev_main), 
5668eb34 (debug_nothing_int_charstar), 567066e0 (yyparse), 
566b421f (do_define), 566b2f90 (run_directive), 
